1,1,1310,877,27,4,68,3,53329.90,574290.60,571290.60
2,1,1310,877,27,4,6,3,32958.90,574290.60,571290.60
3,1,1310,877,27,4,253,3,105141.40,574290.60,571290.60
4,2,1404,162,55,1,277,2,8633.30,17266.60,16403.27
5,3,1116,296,27,4,98,1,20100.60,144196.00,142946.00
6,3,1116,296,27,4,255,1,84735.30,144196.00,142946.00
7,3,1116,296,27,4,54,1,39360.10,144196.00,142946.00
8,4,575,848,53,1,210,1,59304.70,150057.70,148807.70
9,4,575,848,53,1,50,1,39387.40,150057.70,148807.70
10,4,575,848,53,1,56,1,51365.60,150057.70,148807.70
11,5,1510,566,53,1,136,3,16633.50,285269.40,282269.40
12,5,1510,566,53,1,214,3,78456.30,285269.40,282269.40
13,6,1661,744,41,2,74,1,43291.30,59898.80,57398.80
14,6,1661,744,41,2,134,1,16607.50,59898.80,57398.80
15,7,1712,120,25,4,197,1,24900.20,133777.80,130777.80
16,7,1712,120,25,4,250,1,95722.90,133777.80,130777.80
17,7,1712,120,25,4,273,1,13154.70,133777.80,130777.80
18,8,255,823,73,3,243,3,84735.30,254205.90,251705.90
19,9,1871,658,71,3,190,1,33062.90,33062.90,32071.01
20,10,86,727,71,3,74,1,43291.30,43291.30,41126.74
21,11,1084,174,41,2,118,3,35319.70,105959.10,104709.10
22,12,1552,964,72,3,173,1,26509.60,52889.20,50389.20
23,12,1552,964,72,3,169,1,26379.60,52889.20,50389.20
24,13,1836,834,54,1,252,2,75630.10,410087.60,408837.60
25,13,1836,834,54,1,89,2,24272.30,410087.60,408837.60
26,13,1836,834,54,1,241,2,105141.40,410087.60,408837.60
27,14,226,880,55,1,63,3,48955.40,499161.00,496161.00
28,14,226,880,55,1,250,3,95722.90,499161.00,496161.00
29,14,226,880,55,1,105,3,21708.70,499161.00,496161.00
30,15,1090,615,43,2,147,2,19433.70,38867.40,
31,16,18,635,43,2,123,2,42854.50,85709.00,84459.00
32,17,1339,304,25,4,41,2,36647.00,73294.00,
33,18,653,432,25,4,134,3,16607.50,192125.70,
34,18,653,432,25,4,137,3,19498.70,192125.70,
35,18,653,432,25,4,23,3,27935.70,192125.70,
36,19,828,478,27,4,48,1,51326.60,51326.60,48326.60
37,20,421,863,56,1,33,2,32308.90,327659.80,324659.80
38,20,421,863,56,1,169,2,26379.60,327659.80,324659.80
39,20,421,863,56,1,245,2,105141.40,327659.80,324659.80
40,21,1252,213,41,2,112,2,23660.00,223841.80,220841.80
41,21,1252,213,41,2,108,2,21591.70,223841.80,220841.80
42,21,1252,213,41,2,218,2,66669.20,223841.80,220841.80
43,22,1095,14,41,2,20,3,27909.70,201540.30,
44,22,1095,14,41,2,46,3,39270.40,201540.30,
45,23,1895,95,40,2,84,2,32279.00,162877.00,159877.00
46,23,1895,95,40,2,96,2,21630.70,162877.00,159877.00
47,23,1895,95,40,2,10,2,27528.80,162877.00,159877.00
48,24,344,216,41,2,75,3,48935.90,146807.70,143807.70
49,25,1197,636,41,2,274,2,13154.70,26309.40,
50,26,816,946,40,2,204,2,14599.00,29198.00,27154.14
51,27,1,538,43,2,35,2,27857.70,162349.20,
52,27,1,538,43,2,72,2,53316.90,162349.20,
53,28,1811,834,26,4,62,2,43300.40,86600.80,85350.80
54,29,370,320,71,3,5,1,28782.00,99652.80,
55,29,370,320,71,3,226,1,33560.80,99652.80,
56,29,370,320,71,3,127,1,37310.00,99652.80,
57,30,645,798,32,4,111,1,21760.70,82838.60,80338.60
58,30,645,798,32,4,33,1,32308.90,82838.60,80338.60
59,30,645,798,32,4,17,1,28769.00,82838.60,80338.60
60,31,1708,322,55,1,9,1,32802.90,49345.40,46345.40
61,31,1708,322,55,1,144,1,16542.50,49345.40,46345.40
62,32,1914,881,71,3,127,1,37310.00,137108.40,134608.40
63,32,1914,881,71,3,149,1,16633.50,137108.40,134608.40
64,32,1914,881,71,3,220,1,83164.90,137108.40,134608.40
65,33,155,528,71,3,7,2,27444.30,212087.20,
66,33,155,528,71,3,217,2,78599.30,212087.20,
67,34,346,158,72,3,93,2,32175.00,142121.20,140871.20
68,34,346,158,72,3,69,2,38885.60,142121.20,140871.20
69,35,1397,149,55,1,172,2,35379.50,157341.60,154341.60
70,35,1397,149,55,1,74,2,43291.30,157341.60,154341.60
71,36,313,514,53,1,138,2,16633.50,33267.00,31603.65
72,37,629,966,41,2,140,1,16477.50,41299.70,38408.72
73,37,629,966,41,2,199,1,24822.20,41299.70,38408.72
74,38,436,73,26,4,248,3,75630.10,292386.90,291136.90
75,38,436,73,26,4,82,3,21832.20,292386.90,291136.90
76,39,552,773,25,4,185,3,32932.90,98798.70,95798.70
77,40,955,173,27,4,179,2,58048.90,196037.40,193037.40
78,40,955,173,27,4,211,2,39969.80,196037.40,193037.40
79,41,150,164,40,2,226,2,33560.80,67121.60,64121.60
80,42,738,341,70,3,43,3,40284.40,193280.10,190780.10
81,42,738,341,70,3,77,3,24142.30,193280.10,190780.10
82,43,430,438,73,3,16,1,27496.30,144810.90,142310.90
83,43,430,438,73,3,234,1,95722.90,144810.90,142310.90
84,43,430,438,73,3,108,1,21591.70,144810.90,142310.90
85,44,717,320,73,3,8,1,28710.50,67698.80,
86,44,717,320,73,3,73,1,38988.30,67698.80,
87,45,24,925,43,2,212,3,59434.70,178304.10,177054.10
88,46,407,181,27,4,100,1,23608.00,48382.10,
89,46,407,181,27,4,31,1,24774.10,48382.10,
90,47,742,349,56,1,51,2,40102.40,220043.20,
